Désignation,N°,Code catégorie,Page scolaire
"['cahier', '96page', '17x22cm', 'petitcarreau']",10509,1250212,984
"['cahier', 'reliure', '100page', '17x22cm', 'petitcarreau']",10525,1250242,984
"['cahier', 'reliure', '180page', '17x22cm', 'petitcarreau']",10527,1250242,984
"['cahier', '48page', '21x29,7cm', 'grandcarreau']",4771,1250216,984
"['cahier', '96page', '21x29,7cm', 'grandcarreau']",27954,1250216,984
"['cahier', 'brochure', '192page', '21x29,7cm', 'grandcarreau']",47793,1250234,984
"['cahier', 'reliure', '100page', '21x29,7cm', 'grandcarreau']",10528,1250244,984
"['cahier', 'reliure', '180page', ',21x29,7cm', 'grandcarreau']",10530,1250244,984
"['cahier', '192page', '21x29,7cm', 'petitcarreau']",62415,1250216,984
"['cahier', 'reliure', '100page', '21x29,7cm', 'petitcarreau']",10529,1250244,984
"['cahier', 'reliure', '180page', '21x29,7cm', 'petitcarreau']",10531,1250244,984
"['cahier', '96page', 'petitcarreau', '21x29,7cm']",47788,1250216,984
"['cahier', '48page', '24x32cm', 'grandcarreau', 'cartonnee']",27955,1250220,985
"['cahier', '96page', '24x32cm', 'grandcarreau', 'cartonnee']",27956,1250220,985
"['cahier', '192page', '24x32cm', 'grandcarreau']",47865,1250220,985
"['cahier', 'reliure', '100page', '24x32cm', 'grandcarreau']",10582,1250246,985
"['cahier', 'reliure', '180page', '24x32cm', 'grandcarreau']",10532,1250246,985
"['cahier', 'brochure', '192page', '24x32cm', ',petitcarreau']",55637,1250236,985
"['cahier', 'travaux', 'pratique', 'cartonne', '32page', '22x17cm', 'italienne', 'uni', 'blanc']",46002,1250252,986
"['cahier', 'travaux', 'pratique', 'cartonne', '48page', '17x22cm']",47797,1250252,986
"['cahier', 'travaux', 'pratique', 'cartonne', '64page', '17x22cm']",47798,1250252,986
"['cahier', 'travaux', 'pratique', 'cartonne', '96page', '17x22cm']",47799,1250252,986
"['cahier', 'travaux', 'pratique', 'cartonne', '48page', 'a4']",47800,1250252,986
"['cahier', 'travaux', 'pratique', 'cartonne', '64page', 'a4']",68893,1250252,986
"['cahier', 'travaux', 'pratique', 'cartonne', '96page', 'a4']",47801,1250252,986
"['cahier', 'travaux', 'pratique', 'cartonne', '96page', '24x32cm']",47864,1250252,986
"['carnet', 'plastifie', '96page', '9x14cm', 'petitcarreau']",83200,1250402,987
"['carnet', 'plastifie', '96page', '11x17cm', 'petitcarreau']",83201,1250402,987
"['carnet', 'cartone', '96page', '11x17cm', 'grandcarreau']",56879,1250402,987
"['carnet', 'cartone', '96page', '9x14cm', 'petitcarreau']",10666,1250402,987
"['carnet', 'cartonee', '96page', '11x17cm', 'petitcarreau']",10667,1250402,987
"['carnet', 'reliure', '100page', '9x14cm', 'petitcarreau']",10670,1250406,987
"['carnet', 'reliure', '100page', '11x17cm', 'petitcarreau']",10673,1250406,987
"['repertoire', '96page', '11x17cm', 'grandcarreau']",24587,1250412,987
"['repertoire', '96page', '9x14cm', 'petitcarreau']",18129,1250412,987
"['repertoire', '96page', '11x17cm', 'petitcarreau']",47863,1250412,987
"['repertoire', '96page', '17x22cm', 'petitcarreau']",20200,1250412,987
"['repertoire', 'reliure', '180page', '11x17cm', 'petitcarreau']",18133,1250416,987
"['repertoire', 'reliure', '180page', '14,8x21cm', 'petitcarreau']",18134,1250416,987
